,name,priority,total_observations,total_observations_recent,exoclock_observations,exoclock_observations_recent,etd_observations,etd_observations_recent,space_observations,space_observations_recent,literature_midtimes,literature_midtimes_recent,current_oc_min,discovery_ref,depth_r_mmag,duration_hours,ephem_mid_time,ephem_mid_time_e1,ephem_mid_time_e2,ephem_mid_time_format,ephem_mid_time_units,ephem_period,ephem_period_e1,ephem_period_e2,ephem_period_units,ephem_parameters_ref,eccentricity,eccentricity_e1,eccentricity_e2,inclination,inclination_adjusted,inclination_e1,inclination_e2,inclination_units,periastron,periastron_e1,periastron_e2,periastron_units,rp_over_rs,rp_over_rs_adjusted,rp_over_rs_e1,rp_over_rs_e2,rp_over_rs_units,sma_over_rs,sma_over_rs_adjusted,sma_over_rs_e1,sma_over_rs_e2,sma_over_rs_units,transit_parameters_ref,kepler_rp_over_rs,kepler_rp_over_rs_e1,kepler_rp_over_rs_e2,tess_rp_over_rs,tess_rp_over_rs_e1,tess_rp_over_rs_e2,star,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,logg,logg_e1,logg_e2,logg_units,meta,meta_e1,meta_e2,meta_units,teff,teff_e1,teff_e2,teff_units,ldc_parameters_ref,min_telescope_inches,min_telescope_inches_hf,expected_transit_snr_tess,t0_bjd_tdb,t0_unc,period_days,period_unc
HAT-P-5b,HAT-P-5b,low,48,8,23,8,0,0,18,0,7,0,0.04,2007ApJ...671L.173B,15.58,2.94,2457155.73168,0.00011,-0.00011,BJD_TDB,Days,2.78847323,1.5e-07,-1.5e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.8,False,0.4,-0.4,Degrees,0.0,0.0,-0.0,Degrees,0.1106,False,0.0006,-0.0006,None,7.5,False,0.19,-0.19,None,2008ApJ...677.1324T,0.0,0.0,-0.0,0.0,0.00043,-0.00043,HAT-P-5,18:17:37.3127,+36:37:17.168,11.95,11.604,11.822,4.0,0.2,-0.2,cm/s2,0.24,0.15,-0.15,dex Fe/H or M/H,5960.0,100.0,-100.0,Kelvin,2008ApJ...677.1324T,5.09,5.09,41.94,2457155.73168,0.00011,2.78847323,1.5e-07
HAT-P-6b,HAT-P-6b,low,32,8,29,8,0,0,0,0,3,0,0.53,2008ApJ...673L..79N,10.35,3.51,2456100.88331,0.0002,-0.0002,BJD_TDB,Days,3.85299668,3.6e-07,-3.6e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,85.5,False,0.3,-0.3,Degrees,0.0,0.0,-0.0,Degrees,0.0934,False,0.0005,-0.0005,None,7.69,False,0.22,-0.22,None,2008ApJ...677.1324T,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-6,23:39:05.8101,+42:27:57.503,10.47,10.129,10.306,4.22,0.03,-0.03,cm/s2,-0.13,0.08,-0.08,dex Fe/H or M/H,6570.0,80.0,-80.0,Kelvin,2008ApJ...673L..79N,5.0,5.0,70.94,2456100.88331,0.0002,3.85299668,3.6e-07
HAT-P-7b,HAT-P-7b,low,656,4,13,4,0,0,632,0,11,0,1.37,2008ApJ...680.1450P,7.41,3.95,2455739.244382,1.3e-05,-1.3e-05,BJD_TDB,Days,2.204736003,4.9e-08,-4.9e-08,Days,2022arXiv220909673K,0.0016,0.0034,-0.001,82.2,False,1.2,-1.2,Degrees,165.0,93.0,-66.0,Degrees,0.0781,False,0.0007,-0.0007,None,4.03,False,0.16,-0.16,None,2016ApJ...823..122W,0.077608,1.7e-05,-1.7e-05,0.077608,0.00017,-0.00017,HAT-P-7,19:28:59.3538,+47:58:10.216,10.48,10.178,10.365,4.07,0.08,-0.04,cm/s2,0.26,0.08,-0.08,dex Fe/H or M/H,6350.0,80.0,-80.0,Kelvin,2008ApJ...680.1450P,5.89,5.1,52.58,2455739.244382,1.3e-05,2.204736003,4.9e-08
HAT-P-8b,HAT-P-8b,low,25,5,13,5,0,0,0,0,12,0,1.46,2009ApJ...704.1107L,10.94,3.93,2456052.75596,0.00024,-0.00024,BJD_TDB,Days,3.07634347,5.8e-07,-5.8e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.1,False,0.4,-0.4,Degrees,0.0,0.0,-0.0,Degrees,0.0921,False,0.0005,-0.0005,None,6.29,False,0.06,-0.06,None,2013A&A...551A..11M,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-8,22:52:09.8635,+35:26:49.606,10.36,10.15,10.149,4.15,0.05,-0.05,cm/s2,0.01,0.08,-0.08,dex Fe/H or M/H,6200.0,80.0,-80.0,Kelvin,2009ApJ...704.1107L,5.0,5.0,88.03,2456052.75596,0.00024,3.07634347,5.8e-07
HAT-P-9b,HAT-P-9b,low,34,6,17,6,0,0,7,0,10,0,-0.03,2009ApJ...690.1393S,14.08,3.34,2456489.15311,0.00019,-0.00019,BJD_TDB,Days,3.92281131,3.9e-07,-3.9e-07,Days,2022arXiv220909673K,0.08,0.05,-0.05,86.4,False,0.4,-0.4,Degrees,152.0,42.0,-39.0,Degrees,0.107,False,0.0009,-0.0009,None,8.5,False,0.3,-0.3,None,2019AJ....157...82W,0.0,0.0,-0.0,0.0,0.00084,-0.00084,HAT-P-9,07:20:40.4562,+37:08:26.342,12.34,12.08,12.154,4.3,0.06,-0.06,cm/s2,0.12,0.2,-0.2,dex Fe/H or M/H,6350.0,150.0,-150.0,Kelvin,2009ApJ...690.1393S,5.85,5.85,31.76,2456489.15311,0.00019,3.92281131,3.9e-07
HAT-P-11b,HAT-P-11b,medium,206,0,9,0,0,0,191,0,6,0,0.05,2010ApJ...710.1724B,4.39,2.34,2455798.515261,2.3e-05,-2.3e-05,BJD_TDB,Days,4.88780201,1.7e-07,-1.7e-07,Days,2022arXiv220909673K,0.2,0.05,-0.05,88.5,False,0.6,-0.6,Degrees,355.2,17.3,-17.3,Degrees,0.0576,False,0.0009,-0.0009,None,15.58,False,0.17,-0.82,None,2010ApJ...710.1724B,0.059576,2.4e-05,-2.4e-05,0.059576,0.00026,-0.00026,HAT-P-11,19:50:50.2474,+48:04:51.097,9.461,8.8,9.151,4.6,0.03,-0.03,cm/s2,0.31,0.05,-0.05,dex Fe/H or M/H,4780.0,50.0,-50.0,Kelvin,2010ApJ...710.1724B,8.69,7.52,50.76,2455798.515261,2.3e-05,4.88780201,1.7e-07
HAT-P-12b,HAT-P-12b,low,134,14,59,14,0,0,6,0,69,0,0.48,2009ApJ...706..785H,27.59,2.34,2456851.481119,6e-05,-6e-05,BJD_TDB,Days,3.21305762,1.5e-07,-1.5e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.0,False,0.4,-0.4,Degrees,0.0,0.0,-0.0,Degrees,0.1406,False,0.0013,-0.0013,None,11.77,False,0.15,-0.21,None,2009ApJ...706..785H,0.0,0.0,-0.0,0.0,0.00081,-0.00081,HAT-P-12,13:57:33.4668,+43:29:36.602,12.84,12.152,12.42,4.61,0.01,-0.01,cm/s2,-0.29,0.05,-0.05,dex Fe/H or M/H,4650.0,60.0,-60.0,Kelvin,2009ApJ...706..785H,5.98,5.98,52.07,2456851.481119,6e-05,3.21305762,1.5e-07
HAT-P-13b,HAT-P-13b,low,48,7,17,7,0,0,0,0,31,0,-0.87,2009ApJ...707..446B,8.25,3.32,2455631.47279,0.00019,-0.00019,BJD_TDB,Days,2.91624268,4.7e-07,-4.7e-07,Days,2022arXiv220909673K,0.021,0.009,-0.009,83.4,False,0.6,-0.6,Degrees,181.0,45.0,-45.0,Degrees,0.0844,False,0.0013,-0.0013,None,5.8,False,0.3,-0.3,None,2009ApJ...707..446B,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-13,08:39:31.8073,+47:21:07.275,10.42,10.4,10.417,4.13,0.04,-0.04,cm/s2,0.41,0.08,-0.08,dex Fe/H or M/H,5653.0,90.0,-90.0,Kelvin,2009ApJ...707..446B,5.73,5.0,56.28,2455631.47279,0.00019,2.91624268,4.7e-07
HAT-P-14b,HAT-P-14b,low,34,6,17,6,0,0,11,0,6,0,0.69,2010ApJ...715..458T,5.61,2.35,2457304.81275,0.00015,-0.00015,BJD_TDB,Days,4.62766098,3.4e-07,-3.4e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,83.77,False,0.18,-0.18,Degrees,0.0,0.0,-0.0,Degrees,0.0805,False,0.0011,-0.0011,None,8.51,True,0.15,-0.15,None,2016ApJ...819...27F,0.0,0.0,-0.0,0.0,0.00053,-0.00053,HAT-P-14,17:20:27.8782,+38:14:31.909,9.99,9.689,9.873,4.25,0.03,-0.03,cm/s2,0.11,0.08,-0.08,dex Fe/H or M/H,6600.0,90.0,-90.0,Kelvin,2010ApJ...715..458T,7.84,6.79,42.34,2457304.81275,0.00015,4.62766098,3.4e-07
HAT-P-15b,HAT-P-15b,medium,15,2,13,2,1,0,0,0,1,0,-1.91,2010ApJ...724..866K,13.51,5.45,2456159.44417,0.00017,-0.00017,BJD_TDB,Days,10.86345165,8.9e-07,-8.9e-07,Days,2022arXiv220909673K,0.19,0.019,-0.019,89.1,False,0.2,-0.2,Degrees,262.0,1.0,-1.0,Degrees,0.1019,False,0.0009,-0.0009,None,19.2,False,0.6,-0.6,None,2010ApJ...724..866K,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-15,04:24:59.5347,+39:27:38.312,12.41,11.81,11.723,4.38,0.03,-0.03,cm/s2,0.22,0.08,-0.08,dex Fe/H or M/H,5568.0,90.0,-90.0,Kelvin,2010ApJ...724..866K,5.4,5.4,60.01,2456159.44417,0.00017,10.86345165,8.9e-07
HAT-P-16b,HAT-P-16b,low,46,5,27,5,0,0,7,0,12,0,0.46,2010ApJ...720.1118B,14.45,3.07,2457237.26396,0.00013,-0.00013,BJD_TDB,Days,2.77596748,2.1e-07,-2.1e-07,Days,2022arXiv220909673K,0.036,0.004,-0.004,86.6,False,0.7,-0.7,Degrees,214.0,8.0,-8.0,Degrees,0.1071,False,0.0014,-0.0014,None,7.2,False,0.3,-0.3,None,2010ApJ...720.1118B,0.0,0.0,-0.0,0.0,0.00041,-0.00041,HAT-P-16,00:38:17.5584,+42:27:47.216,10.91,10.553,10.757,4.34,0.03,-0.03,cm/s2,0.17,0.08,-0.08,dex Fe/H or M/H,6158.0,80.0,-80.0,Kelvin,2010ApJ...720.1118B,5.0,5.0,73.92,2457237.26396,0.00013,2.77596748,2.1e-07
HAT-P-17b,HAT-P-17b,high,17,3,8,3,5,0,2,0,2,0,-1.57,2012ApJ...749..134H,20.37,4.04,2456703.460703,5e-05,-5e-05,BJD_TDB,Days,10.33853522,7e-07,-7e-07,Days,2022arXiv220909673K,0.342,0.006,-0.006,89.2,False,0.2,-0.1,Degrees,201.0,1.0,-1.0,Degrees,0.1238,False,0.001,-0.001,None,22.6,False,0.5,-0.5,None,2012ApJ...749..134H,0.0,0.0,-0.0,0.0,0.00039,-0.00039,HAT-P-17,21:38:08.7311,+30:29:19.445,10.38,10.24,10.274,4.52,0.02,-0.02,cm/s2,0.0,0.08,-0.08,dex Fe/H or M/H,5246.0,80.0,-80.0,Kelvin,2012ApJ...749..134H,5.0,5.0,167.05,2456703.460703,5e-05,10.33853522,7e-07
HAT-P-18b,HAT-P-18b,low,24,3,8,3,0,0,7,0,9,0,-0.85,2011ApJ...726...52H,24.28,2.71,2457408.449133,8.1e-05,-8.1e-05,BJD_TDB,Days,5.50802941,5.3e-07,-5.3e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.53,False,0.16,-0.16,Degrees,0.0,0.0,-0.0,Degrees,0.1356,False,0.0028,-0.0028,None,16.39,False,0.24,-0.24,None,2017MNRAS.468.3907K,0.0,0.0,-0.0,0.0,0.00078,-0.00078,HAT-P-18,17:05:23.1475,+33:00:44.939,12.759,12.61,12.368,4.57,0.04,-0.04,cm/s2,0.1,0.08,-0.08,dex Fe/H or M/H,4803.0,80.0,-80.0,Kelvin,2011ApJ...726...52H,6.93,6.93,50.41,2457408.449133,8.1e-05,5.50802941,5.3e-07
HAT-P-19b,HAT-P-19b,medium,39,2,27,2,0,0,0,0,12,0,-1.61,2011ApJ...726...52H,26.46,2.87,2456927.55807,0.00011,-0.00011,BJD_TDB,Days,4.00878423,4.4e-07,-4.4e-07,Days,2022arXiv220909673K,0.07,0.04,-0.04,88.2,False,0.4,-0.4,Degrees,256.0,77.0,-77.0,Degrees,0.1418,False,0.002,-0.002,None,12.2,False,0.7,-0.7,None,2011ApJ...726...52H,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-19,00:38:04.0136,+34:42:41.552,12.901,12.82,12.557,4.54,0.05,-0.05,cm/s2,0.23,0.08,-0.08,dex Fe/H or M/H,4990.0,130.0,-130.0,Kelvin,2011ApJ...726...52H,7.43,7.43,49.24,2456927.55807,0.00011,4.00878423,4.4e-07
HAT-P-20b,HAT-P-20b,low,86,10,42,10,0,0,22,0,22,0,0.214,2011ApJ...742..116B,19.78,1.86,2457959.12043,5.6e-05,-5.6e-05,BJD_TDB,Days,2.87531773,1.1e-07,-1.1e-07,Days,2022arXiv220909673K,0.015,0.005,-0.005,86.8,False,0.2,-0.2,Degrees,317.0,130.0,-130.0,Degrees,0.1284,False,0.0016,-0.0016,None,11.2,False,0.3,-0.3,None,2011ApJ...742..116B,0.0,0.0,-0.0,0.0,0.00024,-0.00024,HAT-P-20,07:27:39.9487,+24:20:11.518,11.35,11.0,10.99,4.63,0.02,-0.02,cm/s2,0.35,0.08,-0.08,dex Fe/H or M/H,4595.0,80.0,-80.0,Kelvin,2011ApJ...742..116B,5.0,5.0,83.38,2457959.12043,5.6e-05,2.87531773,1.1e-07
HAT-P-21b,HAT-P-21b,medium,22,3,14,3,2,0,5,0,1,0,-0.72,2011ApJ...742..116B,11.12,3.71,2458159.89639,0.00027,-0.00027,BJD_TDB,Days,4.12448852,6.9e-07,-6.9e-07,Days,2022arXiv220909673K,0.228,0.016,-0.016,87.2,False,0.7,-0.7,Degrees,309.0,3.0,-3.0,Degrees,0.095,False,0.0022,-0.0022,None,9.6,False,0.7,-0.7,None,2011ApJ...742..116B,0.0,0.0,-0.0,0.0,0.00078,-0.00078,HAT-P-21,11:25:05.9858,+41:01:40.669,11.46,11.71,11.558,4.33,0.06,-0.06,cm/s2,0.01,0.08,-0.08,dex Fe/H or M/H,5588.0,80.0,-80.0,Kelvin,2011ApJ...742..116B,5.82,5.24,40.6,2458159.89639,0.00027,4.12448852,6.9e-07
HAT-P-22b,HAT-P-22b,low,61,5,23,5,24,0,7,0,7,0,0.9,2011ApJ...742..116B,14.48,2.86,2458261.30598,6.9e-05,-6.9e-05,BJD_TDB,Days,3.21223218,1.9e-07,-1.9e-07,Days,2022arXiv220909673K,0.016,0.009,-0.009,86.9,False,0.6,-0.5,Degrees,156.0,66.0,-66.0,Degrees,0.1065,False,0.0017,-0.0017,None,8.6,False,0.3,-0.3,None,2011ApJ...742..116B,0.0,0.0,-0.0,0.0,0.0002,-0.0002,HAT-P-22,10:22:43.5924,+50:07:42.063,9.76,9.44,9.519,4.36,0.04,-0.04,cm/s2,0.24,0.08,-0.08,dex Fe/H or M/H,5302.0,80.0,-80.0,Kelvin,2011ApJ...742..116B,5.0,5.0,147.59,2458261.30598,6.9e-05,3.21223218,1.9e-07
HAT-P-23b,HAT-P-23b,low,91,13,49,13,0,0,0,0,42,0,-0.55,2011ApJ...742..116B,17.48,2.19,2457742.57379,7.2e-05,-7.2e-05,BJD_TDB,Days,1.212886397,7.4e-08,-7.4e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,85.7,False,0.9,-0.9,Degrees,0.0,0.0,-0.0,Degrees,0.1162,False,0.0008,-0.0008,None,4.55,False,0.09,-0.09,None,2015A&A...577A..54C,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-23,20:24:29.7235,+16:45:43.810,11.94,12.27,12.174,4.33,0.05,-0.05,cm/s2,0.15,0.04,-0.04,dex Fe/H or M/H,5905.0,80.0,-80.0,Kelvin,2011ApJ...742..116B,6.21,6.21,32.92,2457742.57379,7.2e-05,1.212886397,7.4e-08
HAT-P-24b,HAT-P-24b,medium,43,1,4,1,0,0,32,0,7,0,0.04,2010ApJ...725.2017K,12.27,3.72,2458011.8958,0.00014,-0.00014,BJD_TDB,Days,3.35524439,2.6e-07,-2.6e-07,Days,2022arXiv220909673K,0.067,0.024,-0.024,88.6,False,0.7,-0.7,Degrees,197.0,36.0,-36.0,Degrees,0.097,False,0.0012,-0.0012,None,7.6,False,0.3,-0.3,None,2010ApJ...725.2017K,0.0,0.0,-0.0,0.0,0.00028,-0.00028,HAT-P-24,07:15:18.0194,+14:15:45.409,11.76,11.71,11.64,4.27,0.04,-0.04,cm/s2,-0.16,0.08,-0.08,dex Fe/H or M/H,6373.0,80.0,-80.0,Kelvin,2010ApJ...725.2017K,5.27,5.24,39.45,2458011.8958,0.00014,3.35524439,2.6e-07
HAT-P-25b,HAT-P-25b,medium,43,1,12,1,0,0,17,0,14,0,-0.32,2012ApJ...745...80Q,21.08,2.81,2457759.39314,0.00015,-0.00015,BJD_TDB,Days,3.65281524,3.7e-07,-3.7e-07,Days,2022arXiv220909673K,0.023,0.022,-0.014,88.2,False,0.5,-0.4,Degrees,287.0,52.0,-17.0,Degrees,0.1269,False,0.0011,-0.0011,None,10.9,False,0.3,-0.3,None,2018PASP..130f4401W,0.0,0.0,-0.0,0.0,0.00064,-0.00064,HAT-P-25,03:13:44.4981,+25:11:50.687,13.15,13.22,12.842,4.48,0.04,-0.04,cm/s2,0.31,0.08,-0.08,dex Fe/H or M/H,5500.0,80.0,-80.0,Kelvin,2012ApJ...745...80Q,8.53,8.53,32.56,2457759.39314,0.00015,3.65281524,3.7e-07
HAT-P-26b,HAT-P-26b,medium,27,3,9,3,0,0,0,0,18,0,-0.1,2011ApJ...728..138H,7.28,2.32,2456901.059458,9.4e-05,-9.4e-05,BJD_TDB,Days,4.2345002,6.4e-07,-6.4e-07,Days,2022arXiv220909673K,0.12,0.06,-0.06,88.6,False,0.5,-0.9,Degrees,54.0,165.0,-165.0,Degrees,0.0737,False,0.0012,-0.0012,None,13.1,False,0.8,-0.8,None,2011ApJ...728..138H,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-26,14:12:37.5329,+04:03:36.117,11.76,11.56,11.464,4.56,0.06,-0.06,cm/s2,-0.04,0.08,-0.08,dex Fe/H or M/H,5079.0,88.0,-88.0,Kelvin,2011ApJ...728..138H,9.35,8.1,23.48,2456901.059458,9.4e-05,4.2345002,6.4e-07
HAT-P-27b,HAT-P-27b,low,40,8,29,8,0,0,0,0,11,0,-0.06,2011ApJ...734..109B,14.08,1.68,2457128.31066,0.00013,-0.00013,BJD_TDB,Days,3.03957804,2.4e-07,-2.4e-07,Days,2022arXiv220909673K,0.08,0.05,-0.05,84.7,False,0.4,-0.7,Degrees,63.0,64.0,-64.0,Degrees,0.119,False,0.003,-0.003,None,9.7,False,0.4,-0.5,None,2011ApJ...734..109B,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-27,14:51:04.1870,+05:56:50.548,12.19,11.98,11.956,4.51,0.04,-0.04,cm/s2,0.29,0.1,-0.1,dex Fe/H or M/H,5300.0,90.0,-90.0,Kelvin,2011ApJ...734..109B,5.94,5.68,29.89,2457128.31066,0.00013,3.03957804,2.4e-07
HAT-P-28b,HAT-P-28b,low,18,3,17,3,0,0,0,0,1,0,0.38,2011ApJ...733..116B,16.75,3.31,2458134.11472,0.0003,-0.0003,BJD_TDB,Days,3.25721296,8e-07,-8e-07,Days,2022arXiv220909673K,0.05,0.03,-0.03,88.0,False,0.9,-0.9,Degrees,233.0,90.0,-90.0,Degrees,0.113,False,0.0024,-0.0024,None,8.4,False,0.6,-0.6,None,2011ApJ...733..116B,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-28,00:52:00.1877,+34:43:42.203,13.03,13.24,12.872,4.36,0.06,-0.06,cm/s2,0.12,0.08,-0.08,dex Fe/H or M/H,5680.0,90.0,-90.0,Kelvin,2011ApJ...733..116B,8.59,8.59,26.27,2458134.11472,0.0003,3.25721296,8e-07
HAT-P-29b,HAT-P-29b,low,17,5,12,5,0,0,0,0,5,0,1.78,2011ApJ...733..116B,9.91,3.9,2457652.90414,0.00048,-0.00048,BJD_TDB,Days,5.7233685,2.2e-06,-2.2e-06,Days,2022arXiv220909673K,0.07,0.03,-0.03,88.0,False,0.6,-0.6,Degrees,203.0,29.0,-36.0,Degrees,0.0885,False,0.0012,-0.0012,None,11.6,False,0.6,-0.6,None,2018AJ....156..181W,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-29,02:12:31.4784,+51:46:43.562,11.83,11.82,11.734,4.34,0.06,-0.06,cm/s2,0.21,0.08,-0.08,dex Fe/H or M/H,6087.0,88.0,-88.0,Kelvin,2011ApJ...733..116B,6.68,5.78,33.35,2457652.90414,0.00048,5.7233685,2.2e-06
HAT-P-30b,HAT-P-30b,low,44,3,19,3,0,0,16,0,9,0,0.41,2011ApJ...735...24J,11.97,2.25,2457825.80333,0.00011,-0.00011,BJD_TDB,Days,2.81060097,2.1e-07,-2.1e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,82.7,False,0.19,-0.19,Degrees,0.0,0.0,-0.0,Degrees,0.1109,False,0.0016,-0.0016,None,6.771,False,0.013,-0.012,None,2016AcA....66...55M,0.0,0.0,-0.0,0.0,0.00032,-0.00032,HAT-P-30,08:15:47.9805,+05:50:12.352,10.35,10.104,10.3,4.36,0.03,-0.03,cm/s2,0.13,0.08,-0.08,dex Fe/H or M/H,6304.0,88.0,-88.0,Kelvin,2011ApJ...735...24J,5.0,5.0,70.02,2457825.80333,0.00011,2.81060097,2.1e-07
HAT-P-31b,HAT-P-31b,medium,20,1,2,1,3,0,11,0,4,0,0.3,2011AJ....142...95K,7.67,4.77,2458940.75332,0.00034,-0.00034,BJD_TDB,Days,5.0052702,3.1e-06,-3.1e-06,Days,2022arXiv220909673K,0.245,0.004,-0.004,87.1,False,1.8,-2.7,Degrees,274.3,1.8,-1.8,Degrees,0.08,False,0.022,-0.022,None,9.34,True,0.15,-0.15,None,2011AJ....142...95K,0.0,0.0,-0.0,0.0,0.00051,-0.00051,HAT-P-31,18:06:09.0499,+26:25:35.989,11.67,11.49,11.45,4.26,0.18,-0.18,cm/s2,0.15,0.08,-0.08,dex Fe/H or M/H,6065.0,100.0,-100.0,Kelvin,2011AJ....142...95K,7.6,6.58,33.65,2458940.75332,0.00034,5.0052702,3.1e-06
HAT-P-32b,HAT-P-32b,low,112,10,59,10,0,0,0,0,53,0,-0.0,2011ApJ...742...59H,29.39,3.13,2456265.154123,4.4e-05,-4.4e-05,BJD_TDB,Days,2.150008197,8.9e-08,-8.9e-08,Days,2022arXiv220909673K,0.16,0.05,-0.03,89.0,False,0.7,-0.8,Degrees,50.0,27.0,-18.0,Degrees,0.1489,False,0.0006,-0.0006,None,5.34,False,0.04,-0.04,None,2019AJ....157...82W,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-32,02:04:10.2775,+46:41:16.210,11.44,11.23,11.133,4.329,0.021,-0.021,cm/s2,-0.04,0.08,-0.08,dex Fe/H or M/H,6207.0,88.0,-88.0,Kelvin,2011ApJ...742...59H,5.0,5.0,118.83,2456265.154123,4.4e-05,2.150008197,8.9e-08
HAT-P-33b,HAT-P-33b,medium,43,0,8,0,0,0,24,0,11,0,-0.19,2011ApJ...742...59H,14.38,4.31,2458078.129918,8.8e-05,-8.8e-05,BJD_TDB,Days,3.47447703,1.8e-07,-1.8e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.2,False,0.0,-0.1,Degrees,0.0,0.0,-0.0,Degrees,0.1058,False,0.0011,-0.0011,None,6.56,False,0.09,-0.12,None,2011ApJ...742...59H,0.0,0.0,-0.0,0.0,0.00022,-0.00022,HAT-P-33,07:32:44.2170,+33:50:06.118,11.03,11.1,11.024,4.146,0.02,-0.02,cm/s2,0.07,0.08,-0.08,dex Fe/H or M/H,6446.0,88.0,-88.0,Kelvin,2011ApJ...742...59H,5.0,5.0,71.18,2458078.129918,8.8e-05,3.47447703,1.8e-07
HAT-P-34b,HAT-P-34b,medium,24,2,12,2,3,0,8,0,1,0,0.03,2012AJ....144...19B,8.18,3.53,2458708.63767,0.00018,-0.00018,BJD_TDB,Days,5.45264682,9.2e-07,-9.2e-07,Days,2022arXiv220909673K,0.44,0.03,-0.03,87.1,False,1.2,-1.2,Degrees,20.0,14.0,-14.0,Degrees,0.08,False,0.003,-0.003,None,9.5,False,0.6,-0.6,None,2012AJ....144...19B,0.0,0.0,-0.0,0.0,0.00038,-0.00038,HAT-P-34,20:12:46.8867,+18:06:17.399,10.4,10.181,10.194,4.21,0.08,-0.08,cm/s2,0.22,0.04,-0.04,dex Fe/H or M/H,6442.0,88.0,-88.0,Kelvin,2012AJ....144...19B,5.45,5.0,59.22,2458708.63767,0.00018,5.45264682,9.2e-07
HAT-P-35b,HAT-P-35b,low,28,7,13,7,2,0,12,0,1,0,-0.02,2012AJ....144...19B,11.68,3.98,2457620.79024,0.00037,-0.00037,BJD_TDB,Days,3.6466584,9e-07,-9e-07,Days,2022arXiv220909673K,0.025,0.018,-0.018,87.3,False,1.0,-1.0,Degrees,248.0,93.0,-93.0,Degrees,0.0954,False,0.0027,-0.0027,None,7.45,False,0.37,-0.37,None,2012AJ....144...19B,0.0,0.0,-0.0,0.0,0.00069,-0.00069,HAT-P-35,08:13:00.1786,+04:47:13.417,11.59,12.38,12.28,4.214,0.067,-0.065,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,6096.0,88.0,-88.0,Kelvin,2012AJ....144...19B,6.71,6.43,26.79,2457620.79024,0.00037,3.6466584,9e-07
HAT-P-36b,HAT-P-36b,low,139,27,94,27,0,0,17,0,28,0,0.18,2012AJ....144...19B,20.66,2.22,2457885.383994,9.4e-05,-9.4e-05,BJD_TDB,Days,1.327346813,9.7e-08,-9.7e-08,Days,2022arXiv220909673K,0.063,0.021,-0.023,85.2,False,0.7,-0.6,Degrees,51.0,20.0,-19.0,Degrees,0.126,False,0.0011,-0.0011,None,4.67,False,0.04,-0.03,None,2019AJ....157...82W,0.0,0.0,-0.0,0.0,0.00049,-0.00049,HAT-P-36,12:33:03.9061,+44:54:55.197,12.15,12.27,12.093,4.36,0.05,-0.05,cm/s2,0.26,0.1,-0.1,dex Fe/H or M/H,5560.0,100.0,-100.0,Kelvin,2012AJ....144...19B,6.21,6.21,41.7,2457885.383994,9.4e-05,1.327346813,9.7e-08
HAT-P-37b,HAT-P-37b,low,51,3,42,3,0,0,0,0,9,0,-0.53,2012AJ....144...19B,24.18,2.36,2457938.84392,0.00016,-0.00016,BJD_TDB,Days,2.79744256,4.1e-07,-4.1e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.7,False,0.4,-0.3,Degrees,0.0,0.0,-0.0,Degrees,0.1394,False,0.002,-0.002,None,9.19,False,0.31,-0.25,None,2016AcA....66...55M,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-37,18:57:11.0562,+51:16:08.849,13.23,13.58,13.262,4.52,0.06,-0.06,cm/s2,0.03,0.1,-0.1,dex Fe/H or M/H,5500.0,100.0,-100.0,Kelvin,2012AJ....144...19B,9.72,9.72,24.05,2457938.84392,0.00016,2.79744256,4.1e-07
